;Trifft gar nicht zu;;;;Trifft völlig zu
Die Erklärung stellt mich zufrieden;0;0;0;1;3
Die Informationen der Erklärung sind ausreichend;0;0;0;0;4
Die Erklärung ist überzeugend;0;0;0;1;3
Die Erklärung weckt Interesse;0;0;0;0;4
Die Erklärung ist einfach zu verstehen;0;0;0;0;4
Die Erklärung ist nützlich bei der Navigation;0;0;0;0;4
Die Erklärung ist hinreichend detailliert;0;0;0;0;4
Die Erklärung ist zu lang;3;1;0;0;0
Ich habe diese Erklärung benötigt;0;0;1;0;3
Ich würde mir diese Erklärung mehrfach ansehen;0;0;1;0;3
Die Erklärung stört mich bei der Navigation;4;0;0;0;0
Ich möchte diese Erklärung ausblenden können;3;0;1;0;0
